Livsmedelsnamn,Gruppering,kcal,Protein,"Fett, totalt","Kolhydrater, tillgängliga",Synthetic Fiber,Synthetic Calcium,Synthetic Iron,Synthetic contaminant marker A,Synthetic contaminant marker B
Synthetic Grain Alpha,Synthetic Staple,353.0,12.0,5.0,65.0,10.0,80.0,4.0,0.06,0.03
Synthetic Grain Beta,Synthetic Staple,351.0,9.0,3.0,72.0,7.0,40.0,3.0,0.03,0.08
Synthetic Pulse Alpha,Synthetic Protein,316.0,25.0,4.0,45.0,18.0,150.0,8.0,0.12,0.04
Synthetic Protein Cube,Synthetic Protein,292.0,38.0,12.0,8.0,2.0,200.0,6.0,0.25,0.10
Synthetic Marine Tile,Synthetic Protein,290.0,30.0,18.0,2.0,0.0,350.0,5.0,0.90,0.20
Synthetic Root Block,Synthetic Vegetable,96.5,3.0,0.5,20.0,5.0,80.0,2.0,0.02,0.05
Synthetic Leaf Block,Synthetic Vegetable,77.0,5.0,1.0,12.0,8.0,300.0,4.0,0.04,0.03
Synthetic Mushroom Disc,Synthetic Vegetable,90.0,8.0,2.0,10.0,6.0,100.0,5.0,0.08,0.08
Synthetic Fruit Red,Synthetic Fruit,85.8,1.0,0.2,20.0,5.0,50.0,1.0,0.01,0.02
Synthetic Fruit Gold,Synthetic Fruit,111.6,2.0,0.4,25.0,4.0,60.0,1.5,0.02,0.01
Synthetic Dairy Sphere,Synthetic Dairy,255.0,20.0,15.0,10.0,1.0,800.0,2.0,0.15,0.05
Synthetic Oil Droplet,Synthetic Oil,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.02,0.02
Synthetic Seed Sprinkle,Synthetic Seed,590.0,20.0,50.0,15.0,10.0,500.0,8.0,0.20,0.15
Synthetic Spice Granules,Synthetic Seasoning,245.0,10.0,5.0,40.0,15.0,200.0,10.0,0.50,0.80
